Year,Team,Adj OE,Adj DE,Barthag,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,PAKE,PASE,Talent,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS
2008,Stanford,113.479,90.726,0.929,28,36,49.8,44.3,39.6,32.8,18.8,17.7,39.1,29.2,64.4,48.0,42.1,36.6,33.3,13.0,6.1,58.3,45.7,27.1,28.3,63.466,78.338,82.346,1.859,0.2,0.151,64.912,69.4,66.4,1.086,0.943,33.646
2008,Marquette,114.818,91.977,0.928,24,34,50.6,46.3,37.5,41.0,18.7,23.9,38.2,33.4,68.8,49.0,46.7,35.8,30.4,10.2,9.1,56.4,54.7,33.6,31.1,66.875,75.845,79.778,1.839,-0.5,-0.059,55.941,70.5,67.9,1.097,0.936,32.087
2008,Clemson,113.904,91.326,0.927,23,33,51.9,48.1,30.6,33.8,20.3,24.6,39.8,36.4,70.9,49.7,49.0,37.5,30.4,13.3,8.4,53.3,48.5,33.3,28.6,67.885,77.279,79.903,1.663,-1.4,-1.158,48.799,62.2,71.7,1.088,0.961,32.281
2008,Davidson,115.432,92.571,0.927,28,35,54.1,49.3,26.3,37.3,17.3,24.3,32.4,28.5,68.1,54.1,47.0,36.1,35.5,9.3,7.0,59.1,51.6,40.6,37.8,66.757,77.371,79.794,1.996,1.6,2.388,18.502,72.6,63.5,1.125,0.93,23.318
2008,Tennessee,115.349,92.519,0.927,30,35,52.4,49.1,38.0,39.6,18.2,24.7,36.2,34.6,72.8,51.5,50.3,35.8,31.2,8.9,10.9,61.1,55.0,38.9,35.9,71.135,76.574,79.866,1.716,0.2,-0.329,57.614,65.7,67.4,1.113,0.968,32.237
2008,Xavier,116.253,94.229,0.918,30,37,54.6,47.1,42.4,31.4,19.8,19.6,35.8,30.1,65.5,52.2,45.2,39.1,33.6,9.7,11.1,60.3,58.8,36.5,36.5,64.066,76.611,80.209,2.038,1.4,1.151,13.33,74.9,67.7,1.144,0.966,25.996
2008,Michigan St.,115.346,93.579,0.917,27,36,52.6,46.0,33.5,33.1,21.1,18.9,39.5,31.6,64.6,51.6,45.6,37.1,31.1,12.3,9.8,66.5,56.1,24.4,37.2,63.64,77.042,81.197,1.61,0.7,0.842,87.079,73.7,67.1,1.102,0.969,32.422
2008,Texas A&M,112.804,92.064,0.912,24,35,52.0,44.9,41.8,26.7,19.2,17.4,35.0,28.1,64.4,51.2,42.2,35.7,33.8,10.2,10.1,53.4,48.8,30.1,31.2,62.093,78.021,80.885,1.611,0.1,0.388,61.214,63.4,66.1,1.073,0.939,32.216
2008,West Virginia,114.507,93.583,0.911,25,36,51.4,48.0,36.6,39.7,16.4,22.8,34.4,31.2,66.2,50.1,45.2,36.0,35.8,14.4,6.8,58.2,51.7,33.9,32.4,63.919,78.073,80.078,1.679,1.1,1.099,46.742,68.7,65.5,1.113,0.952,31.301
2008,Kansas St.,115.212,94.358,0.909,20,32,49.5,48.3,37.4,38.3,20.8,22.2,42.3,30.3,71.7,50.2,44.9,32.0,37.2,8.9,8.3,55.4,56.2,32.2,31.5,70.136,77.238,80.586,1.161,0.2,0.362,40.016,69.3,65.6,1.08,0.955,32.584
