Year,Team,Conf,AdjEM,AdjO,AdjD,AdjT,SOSEM,SOSO,SOSD
2023,Tennessee Tech,OVC,-13.87,96.8,110.6,66.1,+3.50,104.0,100.5
2023,Binghamton,AE,-13.87,96.4,110.2,67.5,-5.69,98.5,104.2
2023,Fairleigh Dickinson,NEC,-14.05,100.6,114.6,70.0,-4.47,99.1,103.6
2023,New Orleans,Slnd,-14.57,95.3,109.8,73.1,-4.04,100.6,104.7
2023,Stonehill,NEC,-14.93,97.7,112.6,68.6,-0.22,101.6,101.9
2023,St. Francis PA,NEC,-15.17,96.3,111.5,68.1,-1.45,102.2,103.6
2023,Central Connecticut,NEC,-15.19,91.8,107.0,65.2,-2.72,99.5,102.2
2023,NJIT,AE,-15.53,92.5,108.0,64.7,-2.52,101.4,103.9
2023,South Carolina St.,MEAC,-15.56,94.7,110.3,72.2,+7.17,107.0,99.9
2023,Houston Christian,Slnd,-15.98,98.1,114.1,68.3,-0.48,103.4,103.8
2023,Elon,CAA,-16.07,94.5,110.6,67.4,-2.77,100.6,103.3
2023,Stony Brook,CAA,-16.17,94.6,110.8,65.3,+2.90,102.3,99.4
2023,Chicago St.,ind,-16.37,98.4,114.7,66.7,+1.30,102.5,101.2
2023,Lindenwood,OVC,-16.85,93.0,109.8,69.3,-1.84,100.6,102.5
2023,Columbia,Ivy,-17.34,91.3,108.7,69.2,-6.58,98.6,105.2
2023,Holy Cross,Pat,-17.34,91.3,108.6,69.3,-5.07,98.4,103.5
2023,McNeese St.,Slnd,-17.38,93.5,110.9,65.6,-0.50,102.0,102.5
2023,St. Francis NY,NEC,-17.47,93.2,110.7,67.1,-5.61,99.4,105.0
2023,Merrimack,NEC,-17.90,87.7,105.6,67.1,+5.43,104.9,99.5
2023,Alabama St.,SWAC,-17.96,91.0,109.0,67.5,+5.26,105.6,100.3
2023,LIU,NEC,-18.80,90.7,109.5,71.1,+6.61,105.8,99.2
2023,Arkansas Pine Bluff,SWAC,-19.37,92.5,111.8,70.9,+14.52,107.4,92.8
2023,Incarnate Word,Slnd,-20.03,90.2,110.3,66.7,-5.12,97.2,102.3
2023,Lamar,Slnd,-21.43,90.3,111.7,66.5,-5.14,98.6,103.8
2023,Eastern Illinois,OVC,-22.44,86.4,108.9,68.0,-2.36,101.6,104.0
2023,Green Bay,Horz,-22.81,90.1,112.9,65.9,-0.35,101.4,101.8
2023,Florida A&M,SWAC,-23.22,85.4,108.6,67.4,+13.43,109.9,96.4
2023,Delaware St.,MEAC,-24.17,87.5,111.7,68.2,+6.89,106.6,99.7
2023,Hartford,ind,-24.39,87.8,112.2,66.9,-6.79,100.2,107.0
2023,Mississippi Valley St.,SWAC,-24.97,87.5,112.5,64.3,+7.50,105.8,98.3
2023,IUPUI,Horz,-28.40,85.6,114.0,66.4,-3.60,100.6,104.2
