Year,Round,Region,Game,AFSeed,AFTeam,AFScore,AUSeed,AUTeam,AUScore
1990,2,SW,39,3,Michigan,115,11,Loyola Marymount,149
1990,2,SW,40,2,Arizona,55,7,Alabama,77
1990,2,NE,41,1,Connecticut,74,9,California,54
1990,2,NE,42,4,La Salle,75,5,Clemson,79
1990,2,NE,43,3,Duke,76,6,St. John's,72
1990,2,NE,44,2,Kansas,70,7,UCLA,71
1990,2,SE,45,1,Oklahoma,77,8,North Carolina,79
1990,2,SE,46,4,Arkansas,86,12,Dayton,84
1990,2,SE,47,3,Georgetown,71,6,Xavier,74
1990,2,SE,48,2,Purdue,72,10,Texas,73
1990,3,NW,49,1,Michigan St.,80,4,Georgia Tech,81
1990,3,NW,50,2,Syracuse,75,6,Minnesota,82
1990,3,SW,51,1,UNLV,69,12,Ball St.,67
1990,3,SW,52,7,Alabama,60,11,Loyola Marymount,62
1990,3,NE,53,1,Connecticut,71,5,Clemson,70
1990,3,NE,54,3,Duke,90,7,UCLA,81
1990,3,SE,55,4,Arkansas,96,8,North Carolina,73
1990,3,SE,56,6,Xavier,89,10,Texas,102
1990,4,NW,57,4,Georgia Tech,93,6,Minnesota,91
1990,4,SW,58,1,UNLV,131,11,Loyola Marymount,101
1990,4,NE,59,1,Connecticut,78,3,Duke,79
1990,4,SE,60,4,Arkansas,88,10,Texas,85
1990,5,F4,61,1,UNLV,90,4,Georgia Tech,81
1990,5,F4,62,3,Duke,97,4,Arkansas,83
1990,6,Champ,63,1,UNLV,103,3,Duke,73
1991,1,NW,1,1,UNLV,99,16,Montana,65
1991,1,NW,2,8,Georgetown,70,9,Vanderbilt,60
1991,1,NW,3,5,Michigan St.,60,12,Green Bay,58
1991,1,NW,4,4,Utah,82,13,South Alabama,72
1991,1,NW,5,6,New Mexico St.,56,11,Creighton,64
1991,1,NW,6,3,Seton Hall,71,14,Pepperdine,51
1991,1,NW,7,7,Virginia,48,10,BYU,61
1991,1,NW,8,2,Arizona,93,15,St. Francis PA,80
1991,1,SW,9,1,Ohio St.,97,16,Towson,86
1991,1,SW,10,8,Georgia Tech,87,9,DePaul,70
1991,1,SW,11,5,Texas,73,12,Saint Peter's,65
1991,1,SW,12,4,St. John's,75,13,Northern Illinois,68
1991,1,SW,13,6,LSU,62,11,Connecticut,79
1991,1,SW,14,3,Nebraska,84,14,Xavier,89
1991,1,SW,15,7,Iowa,76,10,East Tennessee St.,73
1991,1,SW,16,2,Duke,102,15,Louisiana Monroe,73
1991,1,NE,17,1,North Carolina,101,16,Northeastern,66
1991,1,NE,18,8,Princeton,48,9,Villanova,50
1991,1,NE,19,5,Mississippi St.,56,12,Eastern Michigan,76
1991,1,NE,20,4,UCLA,69,13,Penn St.,74
1991,1,NE,21,6,North Carolina St.,114,11,Southern Miss,85
1991,1,NE,22,3,Oklahoma St.,67,14,New Mexico,54
1991,1,NE,23,7,Purdue,63,10,Temple,80
1991,1,NE,24,2,Syracuse,69,15,Richmond,73
1991,1,SE,25,1,Arkansas,117,16,Georgia St.,76
1991,1,SE,26,8,Arizona St.,79,9,Rutgers,76
1991,1,SE,27,5,Wake Forest,71,12,Louisiana Tech,65
1991,1,SE,28,4,Alabama,89,13,Murray St.,79
1991,1,SE,29,6,Pittsburgh,76,11,Georgia,68
1991,1,SE,30,3,Kansas,55,14,New Orleans,49
1991,1,SE,31,7,Florida St.,75,10,USC,72
1991,1,SE,32,2,Indiana,79,15,Coastal Carolina,69
1991,2,NW,33,1,UNLV,62,8,Georgetown,54
1991,2,NW,34,4,Utah,85,5,Michigan St.,84
1991,2,NW,35,3,Seton Hall,81,11,Creighton,69
1991,2,NW,36,2,Arizona,76,10,BYU,61
1991,2,SW,37,1,Ohio St.,65,8,Georgia Tech,61
1991,2,SW,38,4,St. John's,84,5,Texas,76
1991,2,SW,39,11,Connecticut,66,14,Xavier,50
1991,2,SW,40,2,Duke,85,7,Iowa,70
1991,2,NE,41,1,North Carolina,84,9,Villanova,69
1991,2,NE,42,12,Eastern Michigan,71,13,Penn St.,68
