,Year,Round,Region,Game,AFSeed,AFTeam,AFScore,AUSeed,AUTeam,AUScore,PFSeed,PFTeam,PFScore,PUSeed,PUTeam,PUScore,Team_x,Conf_x,AdjEM_x,AdjO_x,AdjD_x,AdjT_x,SOSEM_x,SOSO_x,SOSD_x,BPIO_x,BPID_x,W_x,L_x,Pts_x,Opp_x,MOV_x,SOS_x,OSRS_x,DSRS_x,SRS_x,PASE_x,Team_y,Conf_y,AdjEM_y,AdjO_y,AdjD_y,AdjT_y,SOSEM_y,SOSO_y,SOSD_y,BPIO_y,BPID_y,W_y,L_y,Pts_y,Opp_y,MOV_y,SOS_y,OSRS_y,DSRS_y,SRS_y,PASE_y
22,2008,1,NE,23,7,Miami FL,78,10,Saint Mary's,64,7,Miami FL,78,10,Saint Mary's,64,Miami FL,ACC,15.38,112.5,97.1,65.8,7.78,106.7,98.9,8.1,2.2,23.0,11.0,74.8,67.9,6.85,7.13,7.49,4.89,12.38,-0.4513888888888889,Saint Mary's,WCC,14.66,109.2,94.6,66.4,0.11,103.4,103.3,5.1,3.9,25.0,7.0,75.7,63.7,12.0,0.36,6.27,5.12,11.39,-0.2013888888888889
23,2008,1,NE,24,2,Texas,74,15,Austin Peay,54,2,Texas,74,15,Austin Peay,54,Texas,B12,25.09,120.6,95.5,63.9,10.37,108.4,98.0,9.4,4.3,31.0,7.0,75.5,64.9,10.55,8.59,9.93,8.2,18.13,-0.0802469135802469,Austin Peay,OVC,-0.3,104.6,104.9,65.5,-6.35,102.5,108.8,2.9,-1.8,24.0,11.0,74.0,70.8,3.23,-5.24,1.36,-3.57,-2.21,0.0638888888888889
24,2008,1,SE,25,1,UCLA,70,16,Mississippi Valley St.,29,1,UCLA,70,16,Mississippi Valley St.,29,UCLA,P10,29.94,118.0,88.1,64.1,10.03,109.3,99.3,7.9,10.9,35.0,4.0,73.5,59.0,14.54,7.71,8.6,13.1,21.71,0.423076923076923,Mississippi Valley St.,SWAC,-15.21,91.9,107.1,63.0,-11.0,96.7,107.7,0.0,0.0,17.0,16.0,61.7,65.9,-4.18,-9.5,-13.38,-1.9,-15.28,-0.0260416666666666
25,2008,1,SE,26,8,BYU,62,9,Texas A&M,67,8,BYU,62,9,Texas A&M,67,BYU,MWC,15.76,107.4,91.7,67.8,1.47,104.2,102.7,4.6,3.6,27.0,8.0,73.7,63.2,10.49,1.33,5.74,6.08,11.82,-0.3757716049382716,Texas A&M,B12,19.93,112.3,92.3,61.8,8.28,107.4,99.1,4.1,8.2,25.0,11.0,70.8,61.6,9.22,7.46,4.82,11.38,16.2,0.1304012345679012
26,2008,1,SE,27,5,Drake,99,12,Western Kentucky,101,5,Drake,99,12,Western Kentucky,101,Drake,MVC,21.46,120.0,98.5,62.9,4.89,105.5,100.6,5.4,4.9,28.0,5.0,73.9,62.1,11.82,4.15,7.43,6.65,14.08,-0.3784722222222222,Western Kentucky,SB,14.6,111.9,97.3,68.2,-0.85,103.3,104.2,7.5,0.6,29.0,7.0,77.4,66.8,10.61,0.24,7.93,1.41,9.34,0.2806712962962963
27,2008,1,SE,28,4,Connecticut,69,13,San Diego,70,4,Connecticut,69,13,San Diego,70,Connecticut,BE,18.9,115.2,96.3,67.1,7.67,107.7,100.0,8.5,3.8,24.0,9.0,77.5,68.7,8.79,6.76,10.81,4.73,15.54,0.4884259259259259,San Diego,WCC,4.64,101.6,97.0,63.0,1.43,104.3,102.9,-1.7,3.7,22.0,14.0,65.7,63.8,1.92,1.45,-3.71,7.1,3.39,-0.0347222222222222
28,2008,1,SE,29,6,Purdue,90,11,Baylor,79,6,Purdue,90,11,Baylor,79,Purdue,B10,18.3,110.5,92.2,66.9,6.41,106.2,99.7,3.9,6.0,25.0,9.0,69.6,62.4,7.21,5.9,5.95,7.16,13.1,-0.2888374485596707,Baylor,B12,14.82,115.7,100.9,70.1,7.58,106.9,99.3,12.6,-4.8,21.0,11.0,81.3,74.9,6.41,5.75,15.95,-4.5,11.46,0.1124999999999999
29,2008,1,SE,30,3,Xavier,73,14,Georgia,61,3,Xavier,73,14,Georgia,61,Xavier,A10,22.05,117.3,95.2,63.8,6.94,108.1,101.2,7.9,6.4,30.0,7.0,75.1,63.4,11.7,5.47,8.4,8.76,17.17,0.1358333333333333,Georgia,SEC,8.08,104.3,96.2,64.7,7.55,108.5,101.0,0.4,4.9,17.0,17.0,68.1,67.4,0.71,7.03,0.83,6.42,7.24,-0.5303030303030303
30,2008,1,SE,31,7,West Virginia,75,10,Arizona,65,7,West Virginia,75,10,Arizona,65,West Virginia,BE,21.29,114.6,93.3,63.8,9.0,108.5,99.5,8.9,7.7,26.0,11.0,74.8,63.6,11.27,7.16,8.45,9.52,17.97,0.1760620915032679,Arizona,P10,19.14,116.4,97.3,63.5,12.72,110.3,97.6,6.6,4.1,19.0,15.0,71.9,66.9,4.91,10.22,7.57,6.99,14.55,-0.1536458333333333
31,2008,1,SE,32,2,Duke,71,15,Belmont,70,2,Duke,71,15,Belmont,70,Duke,ACC,26.4,116.3,89.9,71.5,10.06,109.1,99.0,13.8,4.3,28.0,6.0,83.2,69.4,13.79,9.28,16.48,5.04,21.52,0.1589052287581699,Belmont,ASun,3.53,109.7,106.2,68.6,-5.21,100.9,106.1,6.8,-4.2,25.0,9.0,79.8,73.4,6.38,-3.44,6.55,-6.67,-0.12,-0.1293402777777777
