Year,Round,Region,Game,AFSeed,AFTeam,AFScore,AUSeed,AUTeam,AUScore,Team_x,Conf_x,AdjEM_x,AdjO_x,AdjD_x,AdjT_x,BPIO_x,BPID_x,W_x,L_x,Pts_x,Opp_x,MOV_x,SOS_x,OSRS_x,DSRS_x,SRS_x,Team_y,Conf_y,AdjEM_y,AdjO_y,AdjD_y,AdjT_y,BPIO_y,BPID_y,W_y,L_y,Pts_y,Opp_y,MOV_y,SOS_y,OSRS_y,DSRS_y,SRS_y
2008,2,SE,45,1,UCLA,53,9,Texas A&M,49,UCLA,P10,29.94,118,88.1,64.1,7.9,10.9,35,4,73.5,59,14.54,7.71,8.6,13.1,21.71,Texas A&M,B12,19.93,112.3,92.3,61.8,4.1,8.2,25,11,70.8,61.6,9.22,7.46,4.82,11.38,16.2
2008,2,SE,46,12,Western Kentucky,72,13,San Diego,63,Western Kentucky,SB,14.6,111.9,97.3,68.2,7.5,0.6,29,7,77.4,66.8,10.61,0.24,7.93,1.41,9.34,San Diego,WCC,4.64,101.6,97,63,-1.7,3.7,22,14,65.7,63.8,1.92,1.45,-3.71,7.1,3.39
2008,2,SE,47,3,Xavier,85,6,Purdue,78,Xavier,A10,22.05,117.3,95.2,63.8,7.9,6.4,30,7,75.1,63.4,11.7,5.47,8.4,8.76,17.17,Purdue,B10,18.3,110.5,92.2,66.9,3.9,6,25,9,69.6,62.4,7.21,5.9,5.95,7.16,13.1
2008,2,SE,48,2,Duke,67,7,West Virginia,73,Duke,ACC,26.4,116.3,89.9,71.5,13.8,4.3,28,6,83.2,69.4,13.79,9.28,16.48,5.04,21.52,West Virginia,BE,21.29,114.6,93.3,63.8,8.9,7.7,26,11,74.8,63.6,11.27,7.16,8.45,9.52,17.97
2008,3,NW,49,1,North Carolina,68,4,Washington St.,47,North Carolina,ACC,30.22,122.1,91.9,72.5,19.2,1,36,3,88.6,72.5,16.05,8.12,23.41,0.76,24.17,Washington St.,P10,24.32,115.1,90.8,58.3,1.1,13.2,26,9,66.4,56.4,10,6.35,0.1,16.25,16.35
2008,3,NW,50,2,Tennessee,60,3,Louisville,79,Tennessee,SEC,22.17,116.2,94,70.7,13.3,2.8,31,5,81.8,70,11.86,7.84,15.69,2.73,18.41,Louisville,BE,25.41,113.1,87.7,65.3,7.1,9.1,27,9,72.5,61.5,11,8,7.15,11.85,19
2008,3,SW,51,1,Kansas,72,12,Villanova,57,Kansas,B12,35.21,120.9,85.7,66.8,12.4,9.6,37,3,80.5,61.5,19.03,8.2,14.9,11.99,26.9,Villanova,BE,14.21,109.2,95,68.1,5.6,3.4,22,13,72.8,69.5,3.31,7.69,6.92,4.08,11
2008,3,SW,52,3,Wisconsin,56,10,Davidson,73,Wisconsin,B10,26.68,113.5,86.8,61.1,2.1,14.4,31,5,67.3,54.4,12.86,6.73,2.83,16.76,19.59,Davidson,SC,23.61,117,93.4,66.2,9.5,5.3,29,7,77.9,63.2,14.69,1.66,8.49,5.44,13.93
2008,3,NE,53,1,Memphis,92,5,Michigan St.,74,Memphis,CUSA,31.51,118,86.5,68.1,11.3,8,38,2,79.9,61.9,17.98,5.76,13.46,10.28,23.73,Michigan St.,B10,21.15,115.8,94.7,63.3,5.8,7.8,27,9,71.2,62.6,8.64,7.68,7,9.32,16.32
2008,3,NE,54,2,Texas,82,3,Stanford,62,Texas,B12,25.09,120.6,95.5,63.9,9.4,4.3,31,7,75.5,64.9,10.55,8.59,9.93,8.2,18.13,Stanford,P10,22.75,113.6,90.9,63.4,5.5,8.6,28,8,70.9,61.6,9.36,6.95,5.6,10.71,16.31
2008,3,SE,55,1,UCLA,88,12,Western Kentucky,78,UCLA,P10,29.94,118,88.1,64.1,7.9,10.9,35,4,73.5,59,14.54,7.71,8.6,13.1,21.71,Western Kentucky,SB,14.6,111.9,97.3,68.2,7.5,0.6,29,7,77.4,66.8,10.61,0.24,7.93,1.41,9.34
2008,3,SE,56,3,Xavier,79,7,West Virginia,75,Xavier,A10,22.05,117.3,95.2,63.8,7.9,6.4,30,7,75.1,63.4,11.7,5.47,8.4,8.76,17.17,West Virginia,BE,21.29,114.6,93.3,63.8,8.9,7.7,26,11,74.8,63.6,11.27,7.16,8.45,9.52,17.97
